image,grow,disease,disease-grow,area,points,original
/home/lab38/상추/358.jpg,1,12,12-1,,,
/home/lab38/상추/235.jpg,1,12,12-1,,,
/home/lab38/상추/39.jpg,0,12,12-0,,,
/home/lab38/상추/345.jpg,1,12,12-1,,,
/home/lab38/상추/97.jpg,1,12,12-1,,,
/home/lab38/상추/301.jpg,1,12,12-1,,,
/home/lab38/상추/147.jpg,1,12,12-1,,,
/home/lab38/상추/194.jpg,1,12,12-1,,,
/home/lab38/상추/329.jpg,1,12,12-1,,,
/home/lab38/상추/227.jpg,1,12,12-1,,,
/home/lab38/상추/86.jpg,1,12,12-1,,,
/home/lab38/상추/101.jpg,1,12,12-1,,,
/home/lab38/상추/20.jpg,1,12,12-1,,,
/home/lab38/상추/75.jpg,1,12,12-1,,,
/home/lab38/상추/269.jpg,1,12,12-1,,,
/home/lab38/상추/327.jpg,1,12,12-1,,,
/home/lab38/상추/129.jpg,1,12,12-1,,,
/home/lab38/상추/374.jpg,1,12,12-1,,,
/home/lab38/상추/51.jpg,1,12,12-1,,,
/home/lab38/상추/204.jpg,1,12,12-1,,,
/home/lab38/상추/103.jpg,0,12,12-0,,,
/home/lab38/상추/226.jpg,1,12,12-1,,,
/home/lab38/상추/199.jpg,1,12,12-1,,,
/home/lab38/상추/1.jpg,1,12,12-1,,,
/home/lab38/상추/256.jpg,1,12,12-1,,,
/home/lab38/상추/116.jpg,1,12,12-1,,,
/home/lab38/상추/56.jpg,1,12,12-1,,,
/home/lab38/상추/349.jpg,1,12,12-1,,,
/home/lab38/상추/191.jpg,1,12,12-1,,,
/home/lab38/상추/392.jpg,1,12,12-1,,,
/home/lab38/상추/355.jpg,1,12,12-1,,,
/home/lab38/상추/223.jpg,0,12,12-0,,,
/home/lab38/상추/141.jpg,1,12,12-1,,,
/home/lab38/상추/23.jpg,0,12,12-0,,,
/home/lab38/상추/166.jpg,1,12,12-1,,,
/home/lab38/상추/109.jpg,1,12,12-1,,,
/home/lab38/상추/45.jpg,1,12,12-1,,,
/home/lab38/상추/385.jpg,1,12,12-1,,,
/home/lab38/상추/307.jpg,1,12,12-1,,,
/home/lab38/상추/61.jpg,0,12,12-0,,,
/home/lab38/상추/363.jpg,1,12,12-1,,,
/home/lab38/상추/290.jpg,1,12,12-1,,,
/home/lab38/상추/334.jpg,1,12,12-1,,,
/home/lab38/상추/111.jpg,1,12,12-1,,,
/home/lab38/상추/17.jpg,1,12,12-1,,,
/home/lab38/상추/271.jpg,1,12,12-1,,,
/home/lab38/상추/277.jpg,1,12,12-1,,,
/home/lab38/상추/59.jpg,1,12,12-1,,,
/home/lab38/상추/49.jpg,1,12,12-1,,,
/home/lab38/상추/184.jpg,1,12,12-1,,,
/home/lab38/상추/170.jpg,0,12,12-0,,,
/home/lab38/상추/3.jpg,1,12,12-1,,,
/home/lab38/상추/146.jpg,1,12,12-1,,,
/home/lab38/상추/47.jpg,1,12,12-1,,,
/home/lab38/상추/358_a0.jpg,1,12,12-1,,,
/home/lab38/상추/358_a1.jpg,1,12,12-1,,,
/home/lab38/상추/358_a2.jpg,1,12,12-1,,,
/home/lab38/상추/235_a0.jpg,1,12,12-1,,,
/home/lab38/상추/235_a1.jpg,1,12,12-1,,,
/home/lab38/상추/235_a2.jpg,1,12,12-1,,,
/home/lab38/상추/39_a0.jpg,0,12,12-0,,,
/home/lab38/상추/39_a1.jpg,0,12,12-0,,,
/home/lab38/상추/39_a2.jpg,0,12,12-0,,,
/home/lab38/상추/345_a0.jpg,1,12,12-1,,,
/home/lab38/상추/345_a1.jpg,1,12,12-1,,,
/home/lab38/상추/345_a2.jpg,1,12,12-1,,,
/home/lab38/상추/97_a0.jpg,1,12,12-1,,,
/home/lab38/상추/97_a1.jpg,1,12,12-1,,,
/home/lab38/상추/97_a2.jpg,1,12,12-1,,,
/home/lab38/상추/301_a0.jpg,1,12,12-1,,,
/home/lab38/상추/301_a1.jpg,1,12,12-1,,,
/home/lab38/상추/301_a2.jpg,1,12,12-1,,,
/home/lab38/상추/147_a0.jpg,1,12,12-1,,,
/home/lab38/상추/147_a1.jpg,1,12,12-1,,,
/home/lab38/상추/147_a2.jpg,1,12,12-1,,,
/home/lab38/상추/194_a0.jpg,1,12,12-1,,,
/home/lab38/상추/194_a1.jpg,1,12,12-1,,,
/home/lab38/상추/194_a2.jpg,1,12,12-1,,,
/home/lab38/상추/329_a0.jpg,1,12,12-1,,,
/home/lab38/상추/329_a1.jpg,1,12,12-1,,,
/home/lab38/상추/329_a2.jpg,1,12,12-1,,,
/home/lab38/상추/227_a0.jpg,1,12,12-1,,,
/home/lab38/상추/227_a1.jpg,1,12,12-1,,,
/home/lab38/상추/227_a2.jpg,1,12,12-1,,,
/home/lab38/상추/86_a0.jpg,1,12,12-1,,,
/home/lab38/상추/86_a1.jpg,1,12,12-1,,,
/home/lab38/상추/86_a2.jpg,1,12,12-1,,,
/home/lab38/상추/101_a0.jpg,1,12,12-1,,,
/home/lab38/상추/101_a1.jpg,1,12,12-1,,,
/home/lab38/상추/101_a2.jpg,1,12,12-1,,,
/home/lab38/상추/20_a0.jpg,1,12,12-1,,,
/home/lab38/상추/20_a1.jpg,1,12,12-1,,,
/home/lab38/상추/20_a2.jpg,1,12,12-1,,,
/home/lab38/상추/75_a0.jpg,1,12,12-1,,,
/home/lab38/상추/75_a1.jpg,1,12,12-1,,,
/home/lab38/상추/75_a2.jpg,1,12,12-1,,,
/home/lab38/상추/269_a0.jpg,1,12,12-1,,,
/home/lab38/상추/269_a1.jpg,1,12,12-1,,,
/home/lab38/상추/269_a2.jpg,1,12,12-1,,,
/home/lab38/상추/327_a0.jpg,1,12,12-1,,,
/home/lab38/상추/327_a1.jpg,1,12,12-1,,,
/home/lab38/상추/327_a2.jpg,1,12,12-1,,,
/home/lab38/상추/129_a0.jpg,1,12,12-1,,,
/home/lab38/상추/129_a1.jpg,1,12,12-1,,,
/home/lab38/상추/129_a2.jpg,1,12,12-1,,,
/home/lab38/상추/374_a0.jpg,1,12,12-1,,,
/home/lab38/상추/374_a1.jpg,1,12,12-1,,,
/home/lab38/상추/374_a2.jpg,1,12,12-1,,,
/home/lab38/상추/51_a0.jpg,1,12,12-1,,,
/home/lab38/상추/51_a1.jpg,1,12,12-1,,,
/home/lab38/상추/51_a2.jpg,1,12,12-1,,,
/home/lab38/상추/204_a0.jpg,1,12,12-1,,,
/home/lab38/상추/204_a1.jpg,1,12,12-1,,,
/home/lab38/상추/204_a2.jpg,1,12,12-1,,,
/home/lab38/상추/103_a0.jpg,0,12,12-0,,,
/home/lab38/상추/103_a1.jpg,0,12,12-0,,,
/home/lab38/상추/103_a2.jpg,0,12,12-0,,,
/home/lab38/상추/226_a0.jpg,1,12,12-1,,,
/home/lab38/상추/226_a1.jpg,1,12,12-1,,,
/home/lab38/상추/226_a2.jpg,1,12,12-1,,,
/home/lab38/상추/199_a0.jpg,1,12,12-1,,,
/home/lab38/상추/199_a1.jpg,1,12,12-1,,,
/home/lab38/상추/199_a2.jpg,1,12,12-1,,,
/home/lab38/상추/1_a0.jpg,1,12,12-1,,,
/home/lab38/상추/1_a1.jpg,1,12,12-1,,,
/home/lab38/상추/1_a2.jpg,1,12,12-1,,,
/home/lab38/상추/256_a0.jpg,1,12,12-1,,,
/home/lab38/상추/256_a1.jpg,1,12,12-1,,,
/home/lab38/상추/256_a2.jpg,1,12,12-1,,,
